state,bin,pcn,group_number,plan_type,plan_subtype,pbm_name,plan_name,mco_name,confidence,source,source_date,notes
IL,017804,ILPOP,,MEDICAID_FFS,FFS,Prime Therapeutics,Illinois Medicaid FFS,Illinois HFS,HIGH,https://hfs.illinois.gov/medicalproviders/pharmacy/illinoisrx/payorsheet.html,2025-01-01,Illinois FFS (ILPOP program) processed by Prime Therapeutics as of 2024-11; BIN/PCN confirmed from HFS payor sheet references
IL,011552,ILCAID,,MEDICAID_MCO,MCO,Prime Therapeutics,Blue Cross Community Health Plans,Blue Cross Blue Shield of Illinois (BCCHP),HIGH,https://www.pbahealth.com/cdn/2014/11/BCBSIL-FHP-Processing-Update-Final-9.30.14.pdf,2025-01-01,BIN 011552 PCN ILCAID confirmed for BCBS Illinois Medicaid (Blue Cross Community); Prime Therapeutics is PBM
IL,003858,MA,2EJA,MEDICAID_MCO,MCO,Express Scripts,YouthCare HealthChoice Illinois,YouthCare (former foster youth),HIGH,https://www.ilyouthcare.com/members/youthcare/pharmacy.html,2025-01-01,YouthCare serves former foster youth in Illinois; BIN 003858 PCN MA Group 2EJA confirmed from plan website
IL,610591,ADV,RX8826,MEDICAID_MCO,MCO,CVS Caremark,HealthChoice Illinois - Aetna Better Health,Aetna Better Health of Illinois,HIGH,https://www.michigan.gov/-/media/Project/Websites/mdhhs/Assistance-Programs/Medicaid-BPHASA/Other-Prov-Specific-Page-Docs/Health_Plan_BIN_PCN_Group_Information_1-2026.pdf,2025-01-01,BIN 610591 PCN ADV Group RX8826 confirmed from Michigan MDHHS reference (Aetna uses same BIN/PCN structure nationally for Medicaid MCO)
IL,003858,MA,2EPA,MEDICAID_MCO,MCO,Express Scripts,HealthChoice Illinois - Meridian Health Plan,Meridian Health Plan of Illinois (Centene),MEDIUM,https://hfs.illinois.gov/medicalclients/managedcare.html,2025-01-01,Meridian (Centene subsidiary) uses ESI BIN 003858; Group 2EPA inferred from Centene/Meridian pattern; verify against Meridian provider manual
IL,004336,MCAIDADV,RX0506,MEDICAID_MCO,MCO,CVS Caremark,HealthChoice Illinois - Molina Healthcare,Molina Healthcare of Illinois,MEDIUM,https://hfs.illinois.gov/medicalclients/managedcare.html,2025-01-01,Molina Illinois uses CVS Caremark; BIN 004336 PCN MCAIDADV Group RX0506 consistent with Molina national Medicaid pattern; verify against IL-specific Molina provider manual
IL,020107,IRXIL,RX8481,MEDICAID_MCO,MCO,CarelonRx,HealthChoice Illinois - CountyCare Health Plan,CountyCare Health Plan (Cook County),MEDIUM,https://hfs.illinois.gov/medicalclients/managedcare.html,2025-01-01,CountyCare uses CVS Caremark per search results; BIN/PCN/Group MEDIUM confidence — confirm with CountyCare provider portal; Cook County only
OH,024251,OHRXPFFS,,MEDICAID_FFS,FFS,Gainwell Technologies,Ohio Medicaid FFS,Ohio Department of Medicaid,HIGH,https://www.leadingageohio.org/aws/OPA/pt/sd/news_article/520309/_PARENT/layout_interior_details/false,2023-07-01,Ohio SPBM (Single PBM) Gainwell Technologies; FFS PCN = OHRXPFFS since July 1 2023; confirmed from state announcement
OH,024251,OHRXPROD,,MEDICAID_MCO,SPBM,Gainwell Technologies,Ohio Medicaid Managed Care (All MCOs),All Ohio Next Gen MCOs (unified SPBM),HIGH,https://managedcare.medicaid.ohio.gov/managed-care,2023-02-01,Ohio unified SPBM model — all MCO members use same BIN 024251 PCN OHRXPROD via Gainwell since Feb 2023; MCOs: Aetna Better Health, AmeriHealth Caritas, Anthem, Buckeye/Centene, CareSource, Molina, UnitedHealthcare
MI,610591,ADV,RX8826,MEDICAID_MCO,MCO,CVS Caremark,Healthy Michigan Plan - Aetna Better Health,Aetna Better Health of Michigan,HIGH,https://www.michigan.gov/-/media/Project/Websites/mdhhs/Assistance-Programs/Medicaid-BPHASA/Other-Prov-Specific-Page-Docs/Health_Plan_BIN_PCN_Group_Information_1-2026.pdf,2026-02-11,Official MDHHS BIN/PCN/Group table updated 02/11/2026
