state,bin,pcn,group_number,plan_type,plan_subtype,pbm_name,plan_name,mco_name,confidence,source,source_date,notes
# ============================================================
# NORTHEAST STATES — Medicaid/CHIP/Dual Pharmacy BIN/PCN/Group
# Research date: 2026-04-14
# ============================================================
#
# NEW YORK (NY)
# As of April 1 2023 ALL Medicaid (FFS + mainstream MCO + HARP + HIV-SNP)
# transitioned to NYRx. BIN 004740 is the single processor for all NYRx claims.
# Child Health Plus is EXCLUDED from NYRx and uses MCO-level PBMs (e.g. CarelonRx).
# PCN for NYRx = provider-specific ETIN-based value (not a fixed PCN per plan).
NY,004740,,,MEDICAID_FFS,Fee-for-Service,eMedNY,NYRx Medicaid Pharmacy Program,,HIGH,https://www.health.ny.gov/health_care/medicaid/program/update/2022/no11_2022-10_speced.htm,2022-10-01,BIN for all NYRx claims (FFS + all mainstream MCO + HARP + HIV-SNP since 4/1/2023). PCN is provider-ETIN-based per eMedNY companion guide.
NY,004740,,,MEDICAID_MCO,Mainstream Managed Care,eMedNY,NYRx — All MCOs Consolidated,,HIGH,https://www.health.ny.gov/health_care/medicaid/program/update/2023/no09_2023-05_speced.htm,2023-05-01,All MCO enrollees (Fidelis/Centene Healthfirst Emblem UHC MetroPlusHealth Empire MVP etc.) transitioned to NYRx BIN 004740 on 4/1/2023.
NY,004740,,,MEDICAID_MCO,HARP,eMedNY,NYRx — HARP Plans,,HIGH,https://www.health.ny.gov/health_care/medicaid/program/update/2023/no09_2023-05_speced.htm,2023-05-01,Health and Recovery Plans transitioned to NYRx 4/1/2023.
NY,004740,,,MEDICAID_MCO,HIV-SNP,eMedNY,NYRx — HIV Special Needs Plans,,HIGH,https://www.health.ny.gov/health_care/medicaid/program/update/2023/no09_2023-05_speced.htm,2023-05-01,HIV-Special Needs Plans transitioned to NYRx 4/1/2023.
NY,020107,WP,,MEDICAID_CHIP,Child Health Plus MCO,CarelonRx,Child Health Plus — CarelonRx Plans,,MEDIUM,https://www.health.ny.gov/health_care/medicaid/program/update/2023/no09_2023-05_speced.htm,2023-05-01,Child Health Plus EXCLUDED from NYRx. Plans use CarelonRx (BIN 020107). Verify current PCN per specific CHP plan.
#
# PENNSYLVANIA (PA)
# Source: PA DHS 340B page — official table "2026 Pennsylvania Medical Assistance BIN/PCN/Group Numbers"
# Last updated 2025-12-15. FFS only uses BIN 600760 with no PCN or Group.
PA,600760,,,MEDICAID_FFS,Fee-for-Service,PROMISe/WEBMD,Pennsylvania Medical Assistance FFS,,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,FFS ACCESS program. Claims route through WEBMD adjudication via PROMISe. No PCN/Group required.
PA,019595,01940000,,MEDICAID_MCO,MCO,PerformRx,AmeriHealth Caritas Pennsylvania,AmeriHealth Caritas Pennsylvania,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,HealthChoices physical MCO. PCN 01940000.
PA,019595,07630000,,MEDICAID_MCO,MCO,PerformRx,AmeriHealth Caritas Community HealthChoices,AmeriHealth Caritas CHC,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,Community HealthChoices MCO (LTSS-eligible). PCN 07630000.
PA,026010,MCDG,,MEDICAID_MCO,MCO,Geisinger,Geisinger Health Plan PA Medicaid,Geisinger Health Plan,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,HealthChoices MCO central/northeast PA.
PA,004336,MCAIDADV,RX3892,MEDICAID_MCO,MCO,CVS Caremark,Health Partners of Philadelphia,Health Partners of Philadelphia,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,HealthChoices MCO Philadelphia region.
PA,004336,MCAIDADV,RX2338,MEDICAID_MCO,MCO,CVS Caremark,Highmark Wholecare (Medicaid Primary),Highmark Wholecare,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,Medicaid primary coverage.
PA,012114,MCAIDADV,RX2338,MEDICAID_DUAL,D-SNP,CVS Caremark,Highmark Wholecare (Medicaid Secondary to Medicare),Highmark Wholecare,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,Medicaid as secondary to Medicare (dual eligible).
PA,013089,MCAIDADV,RX2338,MEDICAID_MCO,MCO,CVS Caremark,Highmark Wholecare (Medicaid Secondary to Commercial),Highmark Wholecare,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,Medicaid secondary to commercial insurance.
PA,019595,07630000,,MEDICAID_MCO,MCO,PerformRx,Keystone First Community HealthChoices,Keystone First CHC,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,Community HealthChoices LTSS MCO.
PA,019595,01940000,,MEDICAID_MCO,MCO,PerformRx,Keystone First HealthChoices,Keystone First,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,Physical HealthChoices MCO.
PA,003858,MA,2FBA,MEDICAID_MCO,MCO,Express Scripts,Pennsylvania Health & Wellness,PA Health & Wellness,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,Centene subsidiary. Switched to Express Scripts as PBM in 2024.
PA,610494,4200,ACUPA,MEDICAID_MCO,MCO,OptumRx,United Healthcare Community Plan PA,UHC Community Plan PA,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,UHC Medicaid managed care PA.
PA,003858,A4,PMDM,MEDICAID_MCO,MCO,OptumRx,UPMC for You,UPMC for You,HIGH,https://www.pa.gov/agencies/dhs/resources/pharmacy-services/340b,2025-12-15,UPMC Medicaid MCO for western PA.
#
# NEW JERSEY (NJ)
# NJ FamilyCare is the Medicaid program. Multiple MCOs plus FFS via NJMMIS/Gainwell.
# NJ FFS BIN not confirmed in public sources; Gainwell processes claims via NJMMIS.
NJ,610591,,,MEDICAID_MCO,MCO,CVS Caremark,Horizon NJ Health,Horizon NJ Health,HIGH,https://www.horizonnjhealth.com/for-providers/resources/medicaid-reimbursement-and-billing,2024-01-01,Largest NJ Medicaid MCO. BCBSNJ subsidiary. CVS Caremark PBM BIN 610591.
NJ,610494,9999,AMNJ,MEDICAID_MCO,MCO,OptumRx,UnitedHealthcare Community Plan NJ,UHC Community Plan NJ,HIGH,https://www.uhc.com/communityplan/new-jersey/plans/medicaid/familycare,2024-01-01,NJ FamilyCare Medicaid MCO. OptumRx PBM. Group AMNJ.
NJ,020107,WP,WKPA,MEDICAID_MCO,MCO,CarelonRx,Wellpoint NJ (Anthem/Elevance),Wellpoint NJ,HIGH,https://www.wellpoint.com/nj/medicaid/pharmacy,2024-01-01,Formerly Anthem BCBS NJ. CarelonRx PBM. BIN 020107 PCN WP Group WKPA.
NJ,610591,,,MEDICAID_MCO,MCO,CVS Caremark,Aetna Better Health New Jersey,Aetna Better Health NJ,HIGH,https://www.aetnabetterhealth.com/newjersey/providers/pharmacy.html,2024-01-01,Aetna Medicaid NJ. CVS Caremark PBM BIN 610591.
NJ,,,,,MEDICAID_MCO,MCO,,Fidelis Care NJ,Fidelis Care NJ,LOW,https://www.fideliscarenj.com/providers/Medicaid/pharmacy.html,2024-01-01,BIN/PCN not publicly confirmed for NJ Fidelis Care. WellCare/Centene subsidiary. Searched provider manual — no BIN listed.
NJ,,,,,MEDICAID_FFS,Fee-for-Service,Gainwell,NJ FamilyCare FFS,NJMMIS,LOW,https://www.njmmis.com/,2024-01-01,FFS pharmacy administered via NJMMIS (Gainwell). BIN/PCN not available in public documentation. Contact 800-776-6334.
#
# MASSACHUSETTS (MA)
