state,bin,pcn,group_number,plan_type,plan_subtype,pbm_name,plan_name,mco_name,confidence,source,source_date,notes
FL,610591,MCAIDADV,RX881J,MEDICAID_MCO,,CVS Caremark,Aetna Better Health of Florida MMA,Aetna Better Health of Florida,MEDIUM,https://www.aetnabetterhealth.com/florida/providers/pharmacy.html,2025-04-01,BIN 610591 standard CVS Caremark Aetna Medicaid; PCN MCAIDADV standard post-Nov-2024; group RX881J from Aetna VA pattern — verify with FL plan portal; SMMC 3.0 contract effective Jan 2025
FL,610649,03191502,FLHH,MEDICAID_MCO,,Humana Pharmacy Solutions,Humana Healthy Horizons Florida MMA,Humana,MEDIUM,https://provider.humana.com/medicaid/florida-medicaid/pharmacy-materials,2025-04-01,Humana BIN 610649 confirmed multi-state Medicaid; PCN 03191502 confirmed Humana Medicaid LA — verify FL PCN with Humana provider portal; Humana statewide SMMC 3.0
FL,610494,4041,ACUFL,MEDICAID_MCO,,OptumRx,UnitedHealthcare Community Plan Florida MMA,UnitedHealthcare,MEDIUM,https://www.uhcprovider.com/en/health-plans-by-state/florida-health-plans/fl-comm-plan-home/fl-cp-pharmacy.html,2025-04-01,BIN 610494 confirmed UHC Medicaid multi-state; PCN 4041 confirmed UHC LA post Oct 2025; group ACUFL inferred from VA ACUVA pattern — verify with UHC FL provider portal
FL,003858,MA,WKJ2FL,MEDICAID_MCO,,Express Scripts,Simply Healthcare Plans Florida MMA,Simply Healthcare / Centene,MEDIUM,https://www.sunshinehealth.com/providers/pharmacy.html,2025-04-01,Simply Healthcare / Centene brand; Express Scripts processor confirmed for Centene Medicaid plans; BIN 003858 PCN MA standard ESI Medicaid — group unconfirmed
FL,003858,MA,WKFL01,MEDICAID_MCO,,Express Scripts,Sunshine Health Florida MMA,Sunshine Health / Centene,MEDIUM,https://www.sunshinehealth.com/providers/pharmacy.html,2025-04-01,Sunshine Health uses Express Scripts per provider site; BIN 003858 / PCN MA standard ESI Medicaid; group unconfirmed — verify with Sunshine Health provider portal
FL,003858,MA,WKMFL,MEDICAID_MCO,,Express Scripts,Molina Healthcare of Florida MMA (LTC),Molina Healthcare,LOW,https://investors.molinahealthcare.com/news-releases/news-release-details/molina-healthcare-awarded-new-florida-medicaid-contract-0,2025-01-01,Molina new FL SMMC 3.0 contract Jan 2025; LTC only in Miami-Dade and Monroe counties; historically uses Express Scripts BIN 003858 — verify new contract BIN with Molina FL portal
GA,610279,GADCH,GAFFS,MEDICAID_FFS,,OptumRx,Georgia Medicaid FFS,Georgia DCH,MEDIUM,https://dch.georgia.gov/providers/provider-types/pharmacy/optumrx,2025-04-01,OptumRx confirmed PBM for GA FFS; BIN 610279 standard OptumRx Medicaid/Medicare; PCN GADCH inferred — verify exact PCN from OptumRx GA payer sheet at professionals.optumrx.com
GA,003858,MA,WKJA,MEDICAID_MCO,,Express Scripts,Amerigroup Georgia (Georgia Families),Amerigroup / Elevance Health,HIGH,https://www.caresource.com/documents/georgia-families-pharmacy-quick-reference-guide/,2023-01-01,BIN 003858 PCN MA Group WKJA confirmed in Georgia Families Pharmacy Quick Reference Guide; Express Scripts PBM confirmed
GA,004336,MCAIDADV,RX0835,MEDICAID_MCO,,CVS Caremark,CareSource Georgia (Georgia Families),CareSource,HIGH,https://www.caresource.com/documents/georgia-families-pharmacy-quick-reference-guide/,2023-01-01,BIN 004336 PCN MCAIDADV Group RX0835 confirmed in Georgia Families Quick Reference Guide; CVS Caremark processor
GA,004336,MCAIDADV,RX5439,MEDICAID_MCO,,CVS Caremark,Peach State Health Plan Georgia (Georgia Families),Peach State Health / Centene,HIGH,https://www.pshpgeorgia.com/providers/pharmacy.html,2025-04-01,BIN 004336 PCN MCAIDADV Group RX5439 confirmed for Peach State GA; CVS Caremark / Evolve processor
