state,bin,pcn,group_number,plan_type,plan_subtype,pbm_name,plan_name,mco_name,confidence,source,source_date,notes
CA,022659,6334225,MEDICALRX,MEDICAID_FFS,PHARMACY_CARVEOUT,Magellan Medicaid Administration,Medi-Cal Rx,N/A,HIGH,https://medi-calrx.dhcs.ca.gov/cms/medicalrx/static-assets/documents/provider/pharmacy-news/2020/09/2020.09_NF_Medi-Cal_Rx_BIN_PCN_Provider_Call_Center_Number.pdf,2025-01-16,Statewide pharmacy carve-out effective 2022-01-01; ALL Medi-Cal MCO members (managed care and FFS) bill this single BIN for covered outpatient drugs. PBM is Magellan/Gainwell Technologies. Payer spec v6.0 Jan 2026.
CA,022659,6334225,MEDICALRX,MEDICAID_MCO,PHARMACY_CARVEOUT,Magellan Medicaid Administration,Medi-Cal Rx - Anthem Blue Cross,Anthem Blue Cross (Medi-Cal),HIGH,https://www.sfhp.org/providers/pharmacy-services/medi-cal-rx/,2025-01-01,Medi-Cal pharmacy fully carved out to statewide FFS BIN 022659. Anthem Blue Cross members use same BIN as all other Medi-Cal plans.
CA,022659,6334225,MEDICALRX,MEDICAID_MCO,PHARMACY_CARVEOUT,Magellan Medicaid Administration,Medi-Cal Rx - Health Net,Health Net/Centene (Medi-Cal),HIGH,https://medi-calrx.dhcs.ca.gov/provider/forms/,2025-01-01,Health Net Medi-Cal members use statewide carved-out Medi-Cal Rx BIN 022659. Health Net serves many counties.
CA,022659,6334225,MEDICALRX,MEDICAID_MCO,PHARMACY_CARVEOUT,Magellan Medicaid Administration,Medi-Cal Rx - Molina Healthcare,Molina Healthcare of California,HIGH,https://medi-calrx.dhcs.ca.gov/home/,2025-01-01,Molina Medi-Cal members use statewide Medi-Cal Rx BIN 022659.
CA,022659,6334225,MEDICALRX,MEDICAID_MCO,PHARMACY_CARVEOUT,Magellan Medicaid Administration,Medi-Cal Rx - Kaiser Permanente,Kaiser Permanente (Medi-Cal),HIGH,https://medi-calrx.dhcs.ca.gov/home/,2025-01-01,Kaiser Medi-Cal members use statewide Medi-Cal Rx BIN 022659.
CA,022659,6334225,MEDICALRX,MEDICAID_MCO,PHARMACY_CARVEOUT,Magellan Medicaid Administration,Medi-Cal Rx - L.A. Care Health Plan,L.A. Care Health Plan,HIGH,https://www.lacare.org/health-plans/medi-cal,2025-01-01,L.A. Care serves Los Angeles County; pharmacy carved out to Medi-Cal Rx BIN 022659.
CA,022659,6334225,MEDICALRX,MEDICAID_MCO,PHARMACY_CARVEOUT,Magellan Medicaid Administration,Medi-Cal Rx - IEHP,Inland Empire Health Plan (IEHP),HIGH,https://www.iehp.org/,2025-01-01,IEHP serves Riverside/San Bernardino; pharmacy carved out to Medi-Cal Rx.
CA,022659,6334225,MEDICALRX,MEDICAID_MCO,PHARMACY_CARVEOUT,Magellan Medicaid Administration,Medi-Cal Rx - CalOptima,CalOptima Health (Orange County),HIGH,https://www.caloptima.org/en/for-providers/pharmacy,2025-01-01,CalOptima serves Orange County; pharmacy carved out to Medi-Cal Rx. CalOptima uses MedImpact as MCO PBM but drug billing goes to Medi-Cal Rx BIN.
CA,022659,6334225,MEDICALRX,MEDICAID_MCO,PHARMACY_CARVEOUT,Magellan Medicaid Administration,Medi-Cal Rx - Partnership HealthPlan,Partnership HealthPlan of California,HIGH,https://medi-calrx.dhcs.ca.gov/home/,2025-01-01,Partnership HealthPlan (NorCal) pharmacy carved out to Medi-Cal Rx.
CA,022659,6334225,MEDICALRX,MEDICAID_MCO,PHARMACY_CARVEOUT,Magellan Medicaid Administration,Medi-Cal Rx - Santa Clara Family Health Plan,Santa Clara Family Health Plan,HIGH,https://medi-calrx.dhcs.ca.gov/home/,2025-01-01,SCFHP pharmacy carved out to Medi-Cal Rx.
